user_id,user_name,timestamp,tweet_text,likes,retweets,replies,tweet_url,tweet_id
yogeshkorba,YOGESH TIWARI,2025-06-17T04:28:45.000Z,"So here it is, folks — the real face of Tata’s “premium” Safari experience.

You pay ₹25–30 lakhs for a flagship SUV and what do you get?
 A garage slot.
 Zero courtesy car.
 50+ days of service hell.
 No empathy, no accountability — just a glorified scrap metal",1,1,0,https://x.com/yogeshkorba/status/1934830551476936949,1934830551476936949
TataMotors_Cars,Tata Motors Cars,2024-12-20T11:30:00.000Z,"A pure cinematic experience ft. Arjun's Safari

#Safari #ReclaimYourLife #TataSafari #TataMotorsPassengerVehicles

{ Tata Safari, Reclaim Your Life, Family SUV, Premium SUV, India’s Safest SUV, Legendary, Luxurious, Tata Motors Passenger Vehicles }",7,1,2,https://x.com/TataMotors_Cars/status/1870069136069669142,1870069136069669142
KoustubhaDr,Dr. K,2024-04-29T05:42:59.000Z,"I have 
@Tata_Safari
 fr years. I have other international SUV also. So am proud to say Safari is up to par of those. & that's what am saying everyone's experience is different so please don't do generalized statement. ",0,0,1,https://x.com/KoustubhaDr/status/1784820657374765541,1784820657374765541
Thesushrk,Sushant Rameshwar Ko,2024-02-10T18:04:04.000Z,"@anandmahindra
 I know that your suv's are in demanding but the experience  at beed Maharashtra mahindra showroom is unexpected.Before buying have don't care attitude then after buying he will be like go to hell...sorry anand sir booked tata safari facelift.",0,0,0,https://x.com/Thesushrk/status/1756378514016669788,1756378514016669788
jcblarmoring,JCBL Armouring Solutions,2024-02-01T10:42:29.000Z,"Experience unmatched security and rugged style with the Armoured Tata Safari. This fortified version of the iconic SUV ensures top-notch protection, blending advanced safety features seamlessly with the Safari's renowned off-road capabilities.
#ArmouredVehicles #JCBLArmouring",2,1,0,https://x.com/jcblarmoring/status/1753005894345138214,1753005894345138214
Gunzngulaabs,Jim,2023-10-17T14:19:22.000Z,"Tata motors ki suv ke sabhi features amazing hai , aur ride karne ka experience bhi amazing hoga.
#SafestSUVsOfIndia
Tata Safari New Harrier",0,0,0,https://x.com/Gunzngulaabs/status/1714284975317807395,1714284975317807395
Mr_Luchaa,何 Mandy 米,2023-10-17T13:01:31.000Z,"Experience the perfect blend of power and safety with Tata's SUV lineup. Drive with confidence. 
#SafestSUVsOfIndia
Tata Safari New Harrier",0,0,0,https://x.com/Mr_Luchaa/status/1714265383425998853,1714265383425998853
SarcasticGaurab,Gaurab Singh,2023-10-17T12:57:47.000Z,"In Tata's SUVs, safety is the foundation, style is the essence, and excellence is the standard. Choose Tata for the ultimate SUV experience. #SafestSUVsOfIndia
Tata Safari New Harrier",0,0,0,https://x.com/SarcasticGaurab/status/1714264444648460737,1714264444648460737
AakashTrend,Aakash Banerjee,2023-10-17T12:56:58.000Z,"Elevate your SUV experience with Tata, where safety, style, and superior performance converge for an unparalleled driving journey.
#SafestSUVsOfIndia
Tata Safari New Harrier",0,0,0,https://x.com/AakashTrend/status/1714264239333163375,1714264239333163375
ApkePyaarMein,Rahul Mukherjee,2023-10-17T12:55:56.000Z,"With Tata's SUVs, you get more than just a vehicle; you get a promise of safety, style, and unbeatable performance. Join the Tata SUV family and experience the difference
#SafestSUVsOfIndia
Tata Safari New Harrier",0,0,0,https://x.com/ApkePyaarMein/status/1714263978447433858,1714263978447433858
AakashTrend,Aakash Banerjee,2023-10-17T12:55:35.000Z,"Tata SUVs - where safety meets style, and performance meets perfection. Trust Tata for an SUV experience like no other. 
#SafestSUVsOfIndia
Tata Safari New Harrier",0,0,0,https://x.com/AakashTrend/status/1714263891478548986,1714263891478548986
Itz_Phoenix_,The Phoenix,2023-10-17T11:45:58.000Z,"Elevate your SUV experience to another level with this Tata - the epitome of safety, style, & also sophistication on the Indian roads.
#SafestSUVsOfIndia
Tata Safari New Harrier",0,0,0,https://x.com/Itz_Phoenix_/status/1714246370742444517,1714246370742444517
TarunDvn_,Tarun Rajput,2023-10-17T11:43:19.000Z,"Elevate your SUV experience to the next level with Tata - the epitome of safety, style, and sophistication on Indian roads! 
#SafestSUVsOfIndia
Tata Safari New Harrier",0,0,0,https://x.com/TarunDvn_/status/1714245704452063728,1714245704452063728
autocarindiamag,Autocar India,2023-10-15T10:30:31.000Z,"The 
@TataMotors_Cars
 #Safari gets a new look, a lot more features, equipment and a crucial mechanical change as well. How much of a difference has this made when it comes to the overall driving experience?

Tap the image below to read our review:",35,5,23,https://x.com/autocarindiamag/status/1713502608588148823,1713502608588148823
